,user_id,team,feedback,prompt_type,prompt_description,device,has_location,tasks_performed_day,team_prompts,goalsetting,dist,floor_div,diff_in_time,month_diff,user_id_0,user_id_1,user_id_2,user_id_3,user_id_4,user_id_5,user_id_6,user_id_7,prompt_description_0,prompt_description_1,prompt_description_2,prompt_type_0,device_0,device_1,device_2
0,88,10,0,question,check lightning,lightning,1,1,804,0.5339975093399771,17.77,2,18727,2,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,-5.0,-2.0,-5.0,0.0,-2.0
1,8,12,1,task,turn off computer,computer,1,0,1688,1.0,18.46,4,18888,3,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,8.0,3.0,-2.0,-2.0,5.0,-1.0
2,67,8,1,task,turn on lightning,lightning,1,0,1384,0.9192195931922296,56.45,3,18838,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,3.0,0.0,-2.0,-5.0,0.0,-2.0
3,61,10,1,question,check computer,computer,1,0,966,0.6415940224159511,65.69,4,18750,1,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,6.0,-4.0,-2.0,-2.0,5.0,-1.0
4,5,5,1,question,check airco,airco,1,0,-1,0.0,63.86,1,18776,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3.0,-3.0,-2.0,-1.0,2.0,0.0
5,5,5,1,question,check window,window,1,0,-1,0.0,67.18,1,18840,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,1.0,-3.0,-2.0,-2.0,0.0,0.0
6,77,2,1,task,turn on lightning,lightning,1,1,1102,0.7319219593192379,23.34,0,18856,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,3.0,0.0,-2.0,-5.0,0.0,-2.0
7,50,8,0,task,turn off window,window,1,2,873,0.5798256537982623,34.04,0,18760,1,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.0,3.0,4.0,-2.0,-2.0,0.0,0.0
8,98,4,1,task,turn off computer,computer,1,0,132,0.08767123287671223,10.66,0,18654,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,8.0,3.0,-2.0,-2.0,5.0,-1.0
9,15,14,0,task,turn off window,window,1,0,684,0.4542963885429632,25.46,5,18975,6,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-4.0,3.0,4.0,-2.0,-2.0,0.0,0.0
10,41,12,0,task,turn off window,window,1,0,471,0.31282689912826855,23.08,1,18703,3,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-4.0,3.0,4.0,-2.0,-2.0,0.0,0.0
11,50,8,0,task,turn on window,window,1,1,325,0.21585720215857174,46.51,0,18678,4,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.0,3.0,2.0,-2.0,-2.0,0.0,0.0
12,3,4,0,question,check heating,heating,1,0,1276,0.8474885844749136,89.18,4,18876,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,2.0,-4.0,-2.0,-3.0,1.0,-1.0
13,7,12,1,question,check weather,no_device,0,0,1942,1.0,7.16,0,18933,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,-3.0,-2.0,-1.0,4.0,-2.0
14,9,6,0,question,check computer,computer,1,0,1682,1.0,21.99,1,18965,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,6.0,-4.0,-2.0,-2.0,5.0,-1.0
15,45,8,1,question,check computer,computer,1,0,556,0.36928185969281807,66.75,2,18715,3,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,6.0,-4.0,-2.0,-2.0,5.0,-1.0
16,9,6,0,task,turn off heating,heating,1,0,1268,0.8421751764217791,12.83,2,18888,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,4.0,3.0,-2.0,-3.0,1.0,-1.0
17,80,4,0,task,turn off lightning,lightning,1,0,273,0.18132004981320027,36.16,1,18683,4,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,3.0,2.0,-2.0,-5.0,0.0,-2.0
18,20,14,1,question,check computer,computer,1,0,321,0.2132004981320047,46.06,3,18796,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,6.0,-4.0,-2.0,-2.0,5.0,-1.0
19,76,0,0,question,check heating,heating,1,0,689,0.457617268576172,26.78,0,18751,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,-4.0,-2.0,-3.0,1.0,-1.0
20,86,1,0,question,check heating,heating,1,0,-1,0.0,25.87,6,18956,5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,-4.0,-2.0,-3.0,1.0,-1.0
21,30,13,1,question,check computer,computer,1,0,-1,0.0,5.15,1,18944,5,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,6.0,-4.0,-2.0,-2.0,5.0,-1.0
