,number,value,params_max_features,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.5833966891477621,10,2,2,40,250,COMPLETE
1,1,0.603973022685469,11,4,2,5,200,COMPLETE
2,2,0.569540159411404,10,1,2,50,100,COMPLETE
3,3,0.6039975475168609,10,6,2,5,400,COMPLETE
4,4,0.5819987737584305,11,2,2,40,200,COMPLETE
5,5,0.599435928877989,12,1,10,2,400,COMPLETE
6,6,0.5858246474555487,10,2,2,40,300,COMPLETE
7,7,0.5993868792152054,10,2,10,2,500,COMPLETE
8,8,0.5916370324954016,14,5,2,30,50,COMPLETE
9,9,0.5896995708154507,12,3,5,50,200,COMPLETE
10,10,0.6038258736971184,14,6,5,5,75,COMPLETE
11,11,0.6038994481912937,11,5,2,5,150,COMPLETE
12,12,0.6047578172900061,11,4,2,5,400,COMPLETE
13,13,0.6012998160637645,13,6,2,20,400,COMPLETE
14,14,0.6036787247087676,11,4,10,10,400,COMPLETE
15,15,0.6034825260576333,11,5,5,5,125,COMPLETE
16,16,0.604316370324954,12,6,2,5,400,COMPLETE
17,17,0.6037768240343346,13,4,2,10,400,COMPLETE
18,18,0.5910729613733905,13,3,10,20,150,COMPLETE
19,19,0.5999264255058246,12,5,5,30,500,COMPLETE
20,20,0.6039484978540772,12,3,2,5,100,COMPLETE
21,21,0.6038749233599019,11,6,2,5,400,COMPLETE
22,22,0.6046842427958307,10,6,2,5,400,COMPLETE
23,23,0.603973022685469,12,5,2,5,400,COMPLETE
24,24,0.6031146535867566,11,6,2,5,125,COMPLETE
25,25,0.6037522992029429,10,4,2,5,250,COMPLETE
26,26,0.605444512568976,13,6,2,5,75,COMPLETE
27,27,0.5939423666462293,13,5,2,30,75,COMPLETE
28,28,0.6038258736971184,14,6,10,10,75,COMPLETE
29,29,0.6000980993255671,10,5,5,20,300,COMPLETE
30,30,0.5920784794604537,13,4,2,50,50,COMPLETE
31,31,0.6049294911097486,12,6,2,5,250,COMPLETE
32,32,0.6039975475168607,11,6,2,5,250,COMPLETE
33,33,0.6043408951563458,13,6,2,5,250,COMPLETE
34,34,0.6035561005518086,11,5,2,5,75,COMPLETE
35,35,0.6039484978540772,10,6,2,40,250,COMPLETE
36,36,0.5995585530349479,12,5,2,2,100,COMPLETE
37,37,0.6019619865113428,12,1,2,5,75,COMPLETE
38,38,0.6037277743715512,10,6,2,5,250,COMPLETE
39,39,0.5977437155119558,11,4,2,40,200,COMPLETE
40,40,0.5953648068669527,10,3,10,50,300,COMPLETE
41,41,0.6031146535867566,13,6,2,5,250,COMPLETE
42,42,0.6049540159411404,13,6,2,5,250,COMPLETE
43,43,0.6037277743715512,14,6,2,5,250,COMPLETE
44,44,0.5994849785407725,13,5,2,2,500,COMPLETE
45,45,0.6018393623543838,12,6,2,5,50,COMPLETE
46,46,0.6047332924586143,14,2,2,5,400,COMPLETE
47,47,0.6033353770692826,14,2,5,5,150,COMPLETE
48,48,0.604095646842428,14,2,2,5,125,COMPLETE
49,49,0.5697118332311465,14,1,10,30,400,COMPLETE
50,50,0.6008093194359289,13,3,2,10,200,COMPLETE
51,51,0.6042182709993869,13,6,2,5,400,COMPLETE
52,52,0.6051502145922746,14,1,2,5,400,COMPLETE
53,53,0.6046597179644391,14,2,2,5,400,COMPLETE
54,54,0.5725812385039852,14,1,2,20,400,COMPLETE
55,55,0.6034825260576333,14,1,2,5,75,COMPLETE
56,56,0.5820968730839976,14,2,5,40,400,COMPLETE
57,57,0.5718945432250153,13,1,2,50,250,COMPLETE
58,58,0.6045616186388718,12,2,2,5,100,COMPLETE
59,59,0.6039484978540772,14,4,2,5,400,COMPLETE
60,60,0.5995830778663397,13,3,2,2,500,COMPLETE
61,61,0.6041201716738197,11,6,2,5,400,COMPLETE
62,62,0.604095646842428,12,5,2,5,400,COMPLETE
63,63,0.6032618025751073,14,6,2,5,400,COMPLETE
64,64,0.6034825260576334,11,6,10,5,400,COMPLETE
