,number,value,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.5916011787819253,1,5,10,250,COMPLETE
1,1,0.5970530451866406,2,5,5,200,COMPLETE
2,2,0.5955550098231827,2,2,5,150,COMPLETE
3,3,0.5952111984282908,2,5,5,100,COMPLETE
4,4,0.5917239685658153,4,2,40,300,COMPLETE
5,5,0.5883840864440079,4,10,40,50,COMPLETE
6,6,0.5956286836935167,5,10,20,500,COMPLETE
7,7,0.5769400785854617,1,10,50,250,COMPLETE
8,8,0.5995825147347741,4,5,10,250,COMPLETE
9,9,0.5926326129666012,4,2,30,400,COMPLETE
10,10,0.599607072691552,6,5,10,125,COMPLETE
11,11,0.5976424361493123,6,5,10,125,COMPLETE
12,12,0.5964390962671906,6,5,10,125,COMPLETE
13,13,0.5891453831041258,5,5,2,75,COMPLETE
14,14,0.5982072691552063,5,5,10,125,COMPLETE
15,15,0.5968565815324165,3,5,10,250,COMPLETE
16,16,0.5924852652259333,6,5,20,50,COMPLETE
17,17,0.5876473477406681,3,5,2,200,COMPLETE
18,18,0.593885068762279,5,2,50,150,COMPLETE
19,19,0.5904960707269156,3,10,30,400,COMPLETE
20,20,0.5977161100196463,6,5,10,100,COMPLETE
21,21,0.5963163064833006,5,5,10,125,COMPLETE
22,22,0.5965127701375245,5,5,10,125,COMPLETE
23,23,0.5955550098231828,4,5,10,125,COMPLETE
24,24,0.599582514734774,5,5,10,500,COMPLETE
25,25,0.6002455795677799,6,5,10,500,COMPLETE
26,26,0.600221021611002,6,5,10,500,COMPLETE
27,27,0.5965373280943026,6,5,40,500,COMPLETE
28,28,0.5888998035363457,6,10,2,500,COMPLETE
29,29,0.599975442043222,6,2,10,500,COMPLETE
30,30,0.5981090373280943,6,2,50,500,COMPLETE
31,31,0.599336935166994,6,2,10,500,COMPLETE
32,32,0.6005648330058939,6,2,10,500,COMPLETE
33,33,0.5988457760314343,6,2,10,500,COMPLETE
34,34,0.5987966601178782,5,2,5,500,COMPLETE
35,35,0.5969548133595285,6,2,20,300,COMPLETE
36,36,0.5953339882121809,5,2,30,500,COMPLETE
37,37,0.5972740667976425,6,2,5,75,COMPLETE
38,38,0.5949165029469549,1,2,10,500,COMPLETE
39,39,0.581409626719057,2,2,40,200,COMPLETE
