,number,value,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.5830110159118728,1,5,50,200,COMPLETE
1,1,0.6007099143206853,6,5,50,150,COMPLETE
2,2,0.5479069767441861,3,2,2,50,COMPLETE
3,3,0.6023011015911873,6,2,30,500,COMPLETE
4,4,0.5869767441860466,1,10,20,150,COMPLETE
5,5,0.5881517747858017,2,10,5,300,COMPLETE
6,6,0.5988249694002449,1,5,10,50,COMPLETE
7,7,0.5895226438188494,3,2,50,50,COMPLETE
8,8,0.543108935128519,3,10,2,100,COMPLETE
9,9,0.5478335373317014,4,2,2,50,COMPLETE
