,number,value,params_max_features,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.5951485148514852,10,4,10,40,300,COMPLETE
1,1,0.593539603960396,10,4,2,50,125,COMPLETE
2,2,0.6013366336633663,10,6,2,30,200,COMPLETE
3,3,0.5947524752475247,12,4,2,5,250,COMPLETE
4,4,0.5802475247524753,13,2,2,40,300,COMPLETE
5,5,0.5681683168316832,10,1,2,20,50,COMPLETE
6,6,0.6017574257425743,11,6,10,30,75,COMPLETE
7,7,0.6016584158415841,11,6,2,30,125,COMPLETE
8,8,0.6105198019801981,13,5,5,10,300,COMPLETE
9,9,0.6063366336633663,11,2,2,10,200,COMPLETE
10,10,0.6109653465346534,13,5,5,10,500,COMPLETE
11,11,0.6111881188118813,13,5,5,10,500,COMPLETE
12,12,0.611460396039604,13,5,5,10,500,COMPLETE
13,13,0.5237128712871286,12,5,5,2,500,COMPLETE
14,14,0.6085148514851485,12,3,5,10,500,COMPLETE
15,15,0.6102722772277229,13,5,5,10,100,COMPLETE
16,16,0.5943316831683167,12,3,5,5,150,COMPLETE
17,17,0.5220544554455445,13,5,5,2,400,COMPLETE
18,18,0.6022772277227724,13,6,5,20,500,COMPLETE
19,19,0.5943069306930694,12,4,10,50,500,COMPLETE
20,20,0.6086386138613862,13,3,5,10,400,COMPLETE
21,21,0.6115841584158417,13,5,5,10,500,COMPLETE
22,22,0.6113366336633664,13,5,5,10,500,COMPLETE
23,23,0.6125742574257426,12,6,5,10,500,COMPLETE
24,24,0.6104950495049505,12,6,5,10,250,COMPLETE
25,25,0.6080445544554456,12,6,5,10,50,COMPLETE
26,26,0.6081188118811881,11,4,10,10,100,COMPLETE
27,27,0.593490099009901,12,6,5,5,150,COMPLETE
28,28,0.5208663366336633,13,5,5,2,75,COMPLETE
29,29,0.5945792079207921,13,4,10,40,500,COMPLETE
30,30,0.6016584158415842,12,6,5,50,500,COMPLETE
31,31,0.6109158415841585,13,5,5,10,500,COMPLETE
32,32,0.6110891089108911,13,5,5,10,500,COMPLETE
33,33,0.6098019801980198,13,4,5,10,500,COMPLETE
34,34,0.599430693069307,13,5,5,20,125,COMPLETE
35,35,0.6015346534653465,12,6,5,40,200,COMPLETE
36,36,0.6103465346534654,10,4,10,10,250,COMPLETE
37,37,0.6011881188118812,13,6,5,30,500,COMPLETE
38,38,0.5980445544554456,11,5,2,50,300,COMPLETE
39,39,0.6059900990099011,13,6,5,10,50,COMPLETE
40,40,0.5952970297029703,12,1,2,5,125,COMPLETE
41,41,0.6110148514851484,13,5,5,10,500,COMPLETE
42,42,0.6102475247524752,13,4,5,10,500,COMPLETE
43,43,0.6090099009900991,13,5,5,10,75,COMPLETE
44,44,0.610990099009901,13,5,5,10,500,COMPLETE
45,45,0.6018564356435643,13,6,5,30,500,COMPLETE
46,46,0.6112128712871288,13,5,2,10,200,COMPLETE
47,47,0.5814356435643564,13,2,2,40,200,COMPLETE
48,48,0.6004702970297029,11,5,2,20,200,COMPLETE
49,49,0.6083910891089108,12,4,2,10,200,COMPLETE
50,50,0.5357920792079207,10,3,2,2,300,COMPLETE
51,51,0.6108663366336634,13,5,2,10,500,COMPLETE
52,52,0.6093811881188118,13,5,5,10,100,COMPLETE
53,53,0.610470297029703,13,5,5,10,400,COMPLETE
54,54,0.6115594059405941,13,6,10,10,500,COMPLETE
55,55,0.6106435643564356,13,6,10,10,150,COMPLETE
56,56,0.611460396039604,13,6,10,10,500,COMPLETE
57,57,0.6125247524752475,12,6,10,10,500,COMPLETE
58,58,0.6006435643564356,12,6,10,30,500,COMPLETE
59,59,0.5953712871287128,12,6,10,5,500,COMPLETE
60,60,0.6109158415841585,12,6,10,10,500,COMPLETE
61,61,0.6112376237623762,13,6,10,10,500,COMPLETE
62,62,0.6113861386138614,11,6,10,10,500,COMPLETE
63,63,0.6117079207920793,11,6,10,10,500,COMPLETE
64,64,0.6012128712871287,11,6,10,50,250,COMPLETE
