,number,value,params_max_features,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.5583588055490243,10,1,5,20,300,COMPLETE
1,1,0.5935339760169291,10,1,10,5,50,COMPLETE
2,2,0.5816129790735951,10,4,10,40,125,COMPLETE
3,3,0.5894192334822478,11,6,10,30,150,COMPLETE
4,4,0.5926640018810251,11,2,10,5,125,COMPLETE
5,5,0.5876557723959557,10,6,5,50,200,COMPLETE
6,6,0.5837996708205972,11,5,5,50,50,COMPLETE
7,7,0.5828826710557253,11,5,2,50,50,COMPLETE
8,8,0.5894427462967318,11,2,10,10,400,COMPLETE
9,9,0.5834940042323066,10,1,2,2,250,COMPLETE
10,10,0.5929931812837996,10,3,10,5,75,COMPLETE
11,11,0.5928285915824125,10,3,10,5,75,COMPLETE
12,12,0.5926169762520573,10,3,10,5,500,COMPLETE
13,13,0.5932753350576064,10,2,10,5,75,COMPLETE
14,14,0.5931107453562191,10,2,10,5,100,COMPLETE
15,15,0.5842229014813073,10,1,2,2,75,COMPLETE
16,16,0.5853280037620504,10,2,10,10,50,COMPLETE
17,17,0.5544086527157301,10,1,10,30,100,COMPLETE
18,18,0.5684458029626146,10,2,2,20,300,COMPLETE
19,19,0.5821302609922407,10,4,5,40,500,COMPLETE
20,20,0.5925934634375735,11,1,10,5,400,COMPLETE
21,21,0.592264284034799,10,2,10,5,100,COMPLETE
22,22,0.5923348224782508,10,2,10,5,100,COMPLETE
23,23,0.5916529508582177,10,3,10,5,200,COMPLETE
24,24,0.5933223606865743,10,1,10,5,250,COMPLETE
25,25,0.5919821302609922,10,1,10,5,250,COMPLETE
26,26,0.5928285915824125,10,1,10,5,250,COMPLETE
27,27,0.5833529273454032,10,1,10,10,150,COMPLETE
28,28,0.5691511873971314,10,2,5,20,50,COMPLETE
29,29,0.5843874911826946,10,1,2,2,300,COMPLETE
30,30,0.5547848577474724,10,1,5,30,250,COMPLETE
31,31,0.5909475664237009,10,2,10,5,100,COMPLETE
32,32,0.567928521043969,10,2,10,40,75,COMPLETE
33,33,0.5926404890665413,10,3,10,5,100,COMPLETE
34,34,0.5917470021161533,10,1,10,5,125,COMPLETE
35,35,0.5923348224782506,10,4,10,5,150,COMPLETE
36,36,0.5698330590171643,11,2,10,20,250,COMPLETE
37,37,0.5562896778744416,10,1,10,50,50,COMPLETE
38,38,0.5673877263108393,11,2,5,40,200,COMPLETE
39,39,0.5928050787679284,10,3,10,5,125,COMPLETE
40,40,0.5845755936985657,10,5,2,30,75,COMPLETE
41,41,0.5931107453562192,10,3,10,5,75,COMPLETE
42,42,0.5916529508582177,10,3,10,5,75,COMPLETE
43,43,0.5917705149306371,10,4,10,5,75,COMPLETE
44,44,0.5925699506230895,10,2,10,5,400,COMPLETE
45,45,0.566611803432871,10,2,10,50,50,COMPLETE
46,46,0.5926640018810251,10,3,10,5,75,COMPLETE
47,47,0.5855866447213731,10,1,10,10,500,COMPLETE
48,48,0.584316952739243,11,6,10,2,75,COMPLETE
49,49,0.59202915588996,10,3,2,5,300,COMPLETE
50,50,0.5931107453562191,10,2,5,5,50,COMPLETE
51,51,0.5929696684693158,10,2,5,5,50,COMPLETE
52,52,0.5944274629673172,10,2,5,5,50,COMPLETE
53,53,0.5912062073830238,10,1,5,5,50,COMPLETE
54,54,0.5930872325417352,10,2,5,5,50,COMPLETE
55,55,0.5939807194921232,10,4,5,5,50,COMPLETE
56,56,0.5915353867857982,10,5,5,5,50,COMPLETE
57,57,0.5822007994356925,10,4,5,50,250,COMPLETE
58,58,0.5784857747472373,10,4,5,20,50,COMPLETE
59,59,0.5761815189278157,10,3,5,30,400,COMPLETE
60,60,0.5927110275099929,10,4,5,5,200,COMPLETE
61,61,0.5919115918175406,10,1,10,5,100,COMPLETE
62,62,0.5930402069127675,10,5,5,5,50,COMPLETE
63,63,0.5931107453562191,10,2,5,5,50,COMPLETE
64,64,0.5894427462967318,10,3,5,10,50,COMPLETE
