,number,value,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.6014980353634577,2,5,10,200,COMPLETE
1,1,0.6013261296660117,4,10,10,100,COMPLETE
2,2,0.5510559921414538,2,2,2,50,COMPLETE
3,3,0.5785363457760313,2,2,40,50,COMPLETE
4,4,0.5853143418467583,3,5,5,50,COMPLETE
5,5,0.5964882121807464,4,10,30,300,COMPLETE
6,6,0.58688605108055,3,10,5,75,COMPLETE
7,7,0.5919941060903733,4,5,50,50,COMPLETE
8,8,0.6056237721021611,6,2,10,500,COMPLETE
9,9,0.5694253438113949,1,5,30,50,COMPLETE
10,10,0.6009332023575639,6,2,20,500,COMPLETE
11,11,0.6048379174852652,6,5,10,200,COMPLETE
12,12,0.6047888015717092,6,2,10,400,COMPLETE
13,13,0.6049361493123773,5,2,10,200,COMPLETE
14,14,0.6049607072691552,5,2,10,500,COMPLETE
15,15,0.5537328094302554,5,2,2,500,COMPLETE
16,16,0.5991404715127702,5,2,20,500,COMPLETE
17,17,0.5947200392927309,5,2,50,125,COMPLETE
18,18,0.5997789783889981,6,2,40,150,COMPLETE
19,19,0.6050834970530452,5,2,10,250,COMPLETE
20,20,0.6046168958742633,6,10,10,250,COMPLETE
21,21,0.6048133595284872,5,2,10,250,COMPLETE
22,22,0.6040029469548134,5,2,10,500,COMPLETE
23,23,0.6043467583497053,4,2,10,250,COMPLETE
24,24,0.6058939096267191,6,2,10,500,COMPLETE
25,25,0.606237721021611,6,2,10,400,COMPLETE
26,26,0.5997789783889981,6,2,30,400,COMPLETE
27,27,0.6005157170923379,6,2,40,400,COMPLETE
28,28,0.5984282907662083,6,2,20,125,COMPLETE
29,29,0.6008840864440079,1,10,10,75,COMPLETE
30,30,0.5546905697445973,6,5,2,150,COMPLETE
31,31,0.6038310412573674,5,2,10,100,COMPLETE
32,32,0.6041502946954813,6,2,10,300,COMPLETE
33,33,0.6050834970530452,6,2,10,250,COMPLETE
34,34,0.6056974459724951,6,2,10,500,COMPLETE
35,35,0.5879911591355599,6,2,5,500,COMPLETE
36,36,0.5947445972495089,4,10,50,500,COMPLETE
37,37,0.6041994106090373,3,2,10,400,COMPLETE
38,38,0.5870333988212181,2,2,5,100,COMPLETE
39,39,0.5511296660117878,5,5,2,500,COMPLETE
