,number,value,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.5894891944990176,5,10,2,200,COMPLETE
1,1,0.5937622789783891,6,10,10,50,COMPLETE
2,2,0.5764489194499017,2,5,20,250,COMPLETE
3,3,0.5944744597249509,2,10,10,125,COMPLETE
4,4,0.5911345776031434,6,5,2,250,COMPLETE
5,5,0.5897347740667976,6,2,2,250,COMPLETE
6,6,0.5889734774066798,1,2,2,150,COMPLETE
7,7,0.5766208251473477,2,5,40,100,COMPLETE
8,8,0.5887770137524558,6,2,50,50,COMPLETE
9,9,0.5882858546168959,4,2,20,500,COMPLETE
10,10,0.594474459724951,3,10,10,125,COMPLETE
11,11,0.5960952848722986,3,10,10,125,COMPLETE
12,12,0.5922396856581533,3,10,10,125,COMPLETE
13,13,0.58737721021611,4,10,30,125,COMPLETE
14,14,0.5962426326129666,3,10,10,300,COMPLETE
15,15,0.5926571709233792,3,10,5,300,COMPLETE
16,16,0.5875982318271119,1,10,10,75,COMPLETE
17,17,0.5886542239685658,4,10,30,300,COMPLETE
18,18,0.593786836935167,5,10,5,400,COMPLETE
19,19,0.5789047151277014,2,5,50,300,COMPLETE
20,20,0.5854371316306483,3,10,40,400,COMPLETE
21,21,0.5941060903732809,3,10,10,125,COMPLETE
22,22,0.5970039292730844,3,10,10,125,COMPLETE
23,23,0.5945726915520628,4,10,10,150,COMPLETE
24,24,0.5925343811394892,2,10,10,200,COMPLETE
25,25,0.5985510805500983,5,10,10,500,COMPLETE
26,26,0.5978388998035363,5,10,10,500,COMPLETE
27,27,0.600049115913556,5,10,10,500,COMPLETE
28,28,0.5931237721021612,5,2,5,500,COMPLETE
29,29,0.5923870333988213,5,5,20,500,COMPLETE
30,30,0.5919695481335954,5,10,30,500,COMPLETE
31,31,0.5977406679764243,5,10,10,500,COMPLETE
32,32,0.5986001964636543,5,10,10,500,COMPLETE
33,33,0.5987966601178782,6,10,10,500,COMPLETE
34,34,0.599828094302554,6,10,10,500,COMPLETE
35,35,0.593393909626719,6,10,50,500,COMPLETE
36,36,0.593320235756385,6,10,40,500,COMPLETE
37,37,0.5979125736738704,6,5,10,100,COMPLETE
38,38,0.587671905697446,6,10,2,75,COMPLETE
39,39,0.5968074656188606,6,2,10,50,COMPLETE
