,number,value,params_max_features,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.6113535012655176,10,5,5,50,125,COMPLETE
1,1,0.6070868988791129,45,2,10,5,50,COMPLETE
2,2,0.6074002651560805,34,4,2,20,150,COMPLETE
3,3,0.6123177051946487,47,6,10,10,100,COMPLETE
4,4,0.6109919247920935,32,6,2,10,125,COMPLETE
5,5,0.6127274918645293,17,2,10,10,300,COMPLETE
6,6,0.6083885741834397,10,3,10,50,125,COMPLETE
7,7,0.5940701458358443,46,3,2,2,200,COMPLETE
8,8,0.596239604676389,24,2,10,50,50,COMPLETE
9,9,0.6121489695070508,10,4,5,40,250,COMPLETE
10,10,0.5995178980354344,20,1,10,30,300,COMPLETE
11,11,0.6122694949981922,39,6,10,10,100,COMPLETE
12,12,0.6089429914426902,50,1,10,10,400,COMPLETE
13,13,0.6133783295166928,21,5,10,10,500,COMPLETE
14,14,0.6136193804989756,20,5,10,10,500,COMPLETE
15,15,0.594311196818127,25,5,5,2,500,COMPLETE
16,16,0.6110401349885501,17,5,10,20,500,COMPLETE
17,17,0.610678558515126,25,5,10,40,500,COMPLETE
18,18,0.6066289020127758,29,4,5,5,75,COMPLETE
19,19,0.6113535012655177,16,5,2,30,500,COMPLETE
20,20,0.6120525491141375,21,6,10,10,500,COMPLETE
21,21,0.6116668675424852,15,2,10,10,300,COMPLETE
22,22,0.6127757020609859,20,3,10,10,300,COMPLETE
23,23,0.6126792816680728,29,3,10,10,250,COMPLETE
24,24,0.6140050620706279,21,4,10,10,400,COMPLETE
25,25,0.6130408581414969,14,4,10,10,400,COMPLETE
26,26,0.6118114981318549,23,5,10,10,400,COMPLETE
27,27,0.5937567795588766,27,4,10,2,75,COMPLETE
28,28,0.6064119561287213,35,5,5,5,200,COMPLETE
29,29,0.6107508738098109,12,5,2,40,150,COMPLETE
30,30,0.6092081475232012,19,4,5,30,400,COMPLETE
31,31,0.6128480173556707,14,4,10,10,400,COMPLETE
32,32,0.6109678196938653,22,4,10,10,400,COMPLETE
33,33,0.6128480173556706,13,5,10,20,400,COMPLETE
34,34,0.6129444377485839,18,4,10,10,500,COMPLETE
35,35,0.6113293961672894,27,6,10,10,50,COMPLETE
36,36,0.606653007111004,12,3,10,50,150,COMPLETE
37,37,0.6116909726407136,18,6,2,10,125,COMPLETE
38,38,0.6066289020127756,33,4,10,5,100,COMPLETE
39,39,0.6135470652042907,38,5,10,10,500,COMPLETE
40,40,0.6090394118356033,39,5,2,20,500,COMPLETE
41,41,0.6133060142220079,36,5,10,10,500,COMPLETE
42,42,0.6127998071592142,37,5,10,10,500,COMPLETE
43,43,0.612269494998192,41,6,10,10,500,COMPLETE
44,44,0.6048692298421117,43,5,10,50,500,COMPLETE
45,45,0.6135229601060626,35,6,10,10,500,COMPLETE
46,46,0.6136916957936603,31,6,10,10,200,COMPLETE
47,47,0.5905025912980595,32,6,10,2,200,COMPLETE
48,48,0.6119320236229964,31,6,10,10,200,COMPLETE
49,49,0.6092081475232012,34,6,5,40,200,COMPLETE
50,50,0.6100518259611908,39,6,10,30,250,COMPLETE
51,51,0.6123659153911053,26,6,10,10,500,COMPLETE
52,52,0.6111365553814633,30,5,10,10,125,COMPLETE
53,53,0.6108955043991804,23,6,10,10,50,COMPLETE
54,54,0.6131854887308666,37,5,10,10,500,COMPLETE
55,55,0.6125346510787031,28,6,10,10,100,COMPLETE
56,56,0.6116186573460287,42,5,2,10,75,COMPLETE
57,57,0.6121971797035073,21,6,10,50,500,COMPLETE
58,58,0.6125346510787032,24,5,10,10,200,COMPLETE
59,59,0.6057611184765577,33,3,5,20,500,COMPLETE
60,60,0.6046281788598289,48,6,10,5,300,COMPLETE
61,61,0.6134988550078342,36,5,10,10,500,COMPLETE
62,62,0.6120284440159094,35,5,10,10,500,COMPLETE
63,63,0.6133783295166928,39,5,10,10,500,COMPLETE
64,64,0.6124623357840184,40,4,10,10,500,COMPLETE
