,number,value,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.6049361493123773,4,2,50,250,COMPLETE
1,1,0.6083497053045186,6,10,30,150,COMPLETE
2,2,0.5890962671905697,1,5,30,75,COMPLETE
3,3,0.5980599214145383,1,10,5,50,COMPLETE
4,4,0.5927062868369352,1,10,30,125,COMPLETE
5,5,0.6075147347740668,5,10,40,75,COMPLETE
6,6,0.6082023575638507,6,2,30,400,COMPLETE
7,7,0.6073919449901768,6,2,20,500,COMPLETE
8,8,0.5986493123772102,1,10,5,400,COMPLETE
9,9,0.6076620825147347,6,5,20,75,COMPLETE
10,10,0.6058202357563851,3,10,10,150,COMPLETE
11,11,0.587328094302554,5,2,2,150,COMPLETE
12,12,0.6077357563850688,5,2,30,100,COMPLETE
13,13,0.6044695481335952,3,2,30,400,COMPLETE
14,14,0.6077848722986248,6,5,30,300,COMPLETE
15,15,0.6053045186640471,4,2,10,200,COMPLETE
16,16,0.5835216110019646,6,10,2,400,COMPLETE
17,17,0.6058202357563851,5,2,40,150,COMPLETE
18,18,0.6013506876227898,2,10,50,300,COMPLETE
19,19,0.6068516699410609,4,5,30,500,COMPLETE
20,20,0.6073919449901768,6,2,30,250,COMPLETE
21,21,0.6084970530451865,6,5,30,300,COMPLETE
22,22,0.606679764243615,5,5,30,300,COMPLETE
23,23,0.6067779960707268,6,5,30,200,COMPLETE
24,24,0.6046414538310413,5,5,30,50,COMPLETE
25,25,0.6071463654223969,6,5,30,125,COMPLETE
26,26,0.6080550098231827,5,10,40,100,COMPLETE
27,27,0.6002946954813361,6,10,5,400,COMPLETE
28,28,0.5837426326129667,4,2,2,150,COMPLETE
29,29,0.6063113948919451,4,5,10,250,COMPLETE
30,30,0.6076620825147347,6,2,20,300,COMPLETE
31,31,0.6069744597249509,5,10,40,100,COMPLETE
32,32,0.606532416502947,5,10,40,100,COMPLETE
33,33,0.6068516699410609,6,10,50,100,COMPLETE
34,34,0.6036591355599215,6,10,40,50,COMPLETE
35,35,0.6083251473477407,5,10,30,125,COMPLETE
36,36,0.6083742632612967,6,10,30,125,COMPLETE
37,37,0.6051326129666011,5,10,30,125,COMPLETE
38,38,0.6074410609037327,6,10,30,125,COMPLETE
39,39,0.6041011787819254,3,10,30,125,COMPLETE
