,number,value,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.5935678149843412,1,5,40,400,COMPLETE
1,1,0.6131534569983137,5,5,30,150,COMPLETE
2,2,0.5914237533124549,1,2,2,500,COMPLETE
3,3,0.6019031558660564,2,2,40,100,COMPLETE
4,4,0.6034449530233679,1,10,20,100,COMPLETE
5,5,0.6111298482293424,4,2,5,400,COMPLETE
6,6,0.6033967718622019,3,2,50,50,COMPLETE
7,7,0.6084557937846302,3,10,20,125,COMPLETE
8,8,0.60917851120212,2,5,5,400,COMPLETE
9,9,0.5937846302095882,2,10,2,500,COMPLETE
10,10,0.6138520838352204,6,5,30,150,COMPLETE
11,11,0.6134907251264756,6,5,30,150,COMPLETE
12,12,0.6141411708022163,6,5,30,150,COMPLETE
13,13,0.6110334859070103,6,5,10,150,COMPLETE
14,14,0.6136834497711394,5,5,30,250,COMPLETE
15,15,0.6129125511924838,5,5,30,200,COMPLETE
16,16,0.6141893519633824,6,5,30,300,COMPLETE
17,17,0.609491688749699,4,5,50,300,COMPLETE
18,18,0.6121175620332451,5,5,10,300,COMPLETE
19,19,0.6110575764875934,6,10,30,75,COMPLETE
20,20,0.6114912069380872,4,5,30,300,COMPLETE
21,21,0.612069380872079,6,5,30,150,COMPLETE
22,22,0.6112262105516744,6,5,30,150,COMPLETE
23,23,0.6108166706817635,5,5,30,200,COMPLETE
24,24,0.6108889424235124,6,5,30,75,COMPLETE
25,25,0.6138520838352204,5,5,30,250,COMPLETE
26,26,0.6127198265478198,6,5,40,125,COMPLETE
27,27,0.6062635509515779,5,5,5,50,COMPLETE
28,28,0.6156106962177788,6,2,20,300,COMPLETE
29,29,0.6133943628041436,4,2,20,300,COMPLETE
30,30,0.6144302577692122,6,2,20,300,COMPLETE
31,31,0.6142375331245483,6,2,20,300,COMPLETE
32,32,0.6167429535051794,6,2,20,300,COMPLETE
33,33,0.6131775475788966,5,2,20,300,COMPLETE
34,34,0.6159961455071067,6,2,20,300,COMPLETE
