,number,value,params_min_samples_leaf,params_min_samples_split,params_rf_max_depth,params_rf_n_estimators,state
0,0,0.6019339045287637,3,10,30,300,COMPLETE
1,1,0.5679559363525092,4,5,5,75,COMPLETE
2,2,0.548812729498164,3,10,2,150,COMPLETE
3,3,0.5722643818849449,2,2,5,400,COMPLETE
4,4,0.6038433292533659,4,2,20,500,COMPLETE
5,5,0.6050673194614442,5,10,20,300,COMPLETE
6,6,0.5971358629130966,3,5,50,50,COMPLETE
7,7,0.5970134638922888,1,2,20,300,COMPLETE
8,8,0.5976499388004897,2,5,20,100,COMPLETE
9,9,0.602937576499388,6,5,50,300,COMPLETE
